,DATE,Trip_ID,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
68,2009-03-10,2785845021,1068.8,42.3661,-71.0631,42.3661,-71.0631,162,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",43.6,24,33.3,24,1025.9,20,24.3,24,10.0,24,5.3,24,9.9,14.0,50.0,*,39.2,*,0.0,G,999.9,0
69,2009-03-11,2736057314,1020.65,42.3519,-71.0643,42.3661,-71.0631,166,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",49.9,24,44.6,24,1018.2,16,16.6,24,7.5,24,4.9,24,11.1,17.1,63.0,*,39.2,*,0.0,G,999.9,10000
70,2009-03-12,2792323057,1091.95,42.2148,-71.033,42.2148,-71.033,178,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",42.9,24,16.9,24,1027.5,24,25.6,24,10.0,24,8.3,24,15.9,26.0,62.1, ,34.0, ,0.0,G,999.9,0
71,2009-03-13,2459174251,879.35,42.3647,-71.0542,42.3647,-71.0542,122,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",35.6,24,16.2,24,1032.7,23,30.6,24,9.4,24,4.4,24,8.9,14.0,43.0, ,30.0, ,0.0,G,999.9,0
72,2009-03-14,2364923369,966.95,42.3661,-71.0631,42.3588,-71.0707,153,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",38.0,24,24.3,24,1026.7,24,24.7,24,9.5,24,1.3,24,6.0,999.9,50.0, ,28.0, ,0.0,G,999.9,0
73,2009-03-15,1927081134,780.05,42.3661,-71.0631,42.3519,-71.0551,128,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",41.8,24,33.0,24,1022.9,24,21.0,24,8.5,24,0.6,24,5.1,999.9,46.9, ,37.9, ,0.0,G,999.9,0
74,2009-03-16,2204348430,752.2,42.3647,-71.0542,42.3644,-71.0661,151,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",44.6,24,34.6,24,1024.6,24,22.7,24,8.3,24,3.0,24,8.9,999.9,54.0, ,37.9, ,0.0,G,999.9,0
75,2009-03-17,1869845019,872.85,42.3503,-71.081,42.3398,-71.0892,147,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",45.0,24,33.0,24,1025.1,23,23.2,24,9.3,24,4.9,24,9.9,999.9,57.9, ,39.0, ,0.0,G,999.9,0
76,2009-03-18,2201715094,815.15,42.3519,-71.0551,42.3503,-71.081,126,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",45.5,24,33.5,24,1023.4,24,21.5,24,9.9,24,3.4,24,11.1,18.1,64.9, ,28.9, ,0.0,G,999.9,0
77,2009-03-19,3257211644,1183.35,42.3644,-71.0661,42.3588,-71.0707,189,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",47.6,24,39.0,24,1017.2,22,15.5,24,9.5,24,4.2,24,11.1,14.0,54.0, ,39.0, ,0.0,G,999.9,10000
78,2009-03-20,2801674690,1048.3,42.2148,-71.033,42.2148,-71.033,206,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",38.7,24,31.0,24,1023.3,17,22.1,24,7.5,24,4.8,24,14.0,18.1,44.1, ,33.1, ,0.11,G,999.9,1000
